                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.049,                0.88201,                 1.1771,                0.85344,                 0.8117,                0.86336,                0.67363,                 1.0282,                0.82891,                 1.1922,               0.003268,               0.003268,               0.003268
                     36,                 1.0486,                0.87707,                 1.1755,                0.87628,                0.79639,                0.86732,                0.67403,                 1.0333,                0.81678,                 1.1945,                0.00307,                0.00307,                0.00307
                     37,                 1.0426,                0.86616,                 1.1724,                0.85657,                0.81231,                0.86642,                0.68265,                 1.0254,                0.82398,                 1.1896,               0.002872,               0.002872,               0.002872
                     38,                 1.0395,                0.85412,                 1.1678,                0.84796,                0.83126,                 0.8665,                0.67446,                 1.0299,                0.81439,                 1.1972,               0.002674,               0.002674,               0.002674
                     39,                 1.0212,                0.83796,                 1.1614,                0.87403,                0.79472,                0.86781,                0.67769,                 1.0214,                0.80801,                 1.1925,               0.002476,               0.002476,               0.002476
                     40,                0.95886,                0.76158,                 1.1668,                0.86807,                0.81006,                0.87086,                0.68052,                 1.0246,                0.80193,                 1.1949,               0.002278,               0.002278,               0.002278
                     41,                0.94785,                0.74861,                  1.162,                0.85445,                0.81034,                0.87161,                0.67967,                 1.0264,                 0.8074,                 1.1947,                0.00208,                0.00208,                0.00208
                     42,                0.93644,                0.72573,                 1.1496,                0.86347,                0.82642,                0.87201,                0.68042,                 1.0206,                0.79971,                 1.1928,               0.001882,               0.001882,               0.001882
                     43,                0.92153,                0.71241,                 1.1424,                0.87004,                0.82262,                0.87219,                0.68725,                 1.0231,                0.79093,                 1.1995,               0.001684,               0.001684,               0.001684
                     44,                0.91268,                0.69492,                 1.1325,                0.84299,                0.83799,                 0.8711,                0.68696,                 1.0315,                0.79404,                 1.2034,               0.001486,               0.001486,               0.001486
                     45,                0.89895,                 0.6733,                 1.1203,                0.88384,                0.80358,                0.87055,                0.68989,                 1.0318,                0.79354,                 1.2055,               0.001288,               0.001288,               0.001288
                     46,                0.88816,                0.65697,                 1.1159,                0.86174,                0.82722,                0.86992,                0.68549,                 1.0309,                0.80117,                 1.2095,                0.00109,                0.00109,                0.00109
                     47,                0.87486,                 0.6394,                 1.1071,                 0.8592,                 0.8302,                0.86966,                0.68866,                 1.0372,                0.80207,                 1.2115,               0.000892,               0.000892,               0.000892
                     48,                0.86907,                0.63111,                 1.1004,                0.84524,                0.82945,                0.86846,                0.68503,                 1.0356,                0.80026,                 1.2126,               0.000694,               0.000694,               0.000694
                     49,                0.85563,                0.61381,                 1.0908,                0.89104,                0.79232,                0.86792,                0.67811,                 1.0383,                0.80322,                 1.2144,               0.000496,               0.000496,               0.000496
